RAJ2000,DEJ2000,nobs,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,present,type,min_mag,max_mag,class,Jmag,Hmag,Kmag,period,fuv-nuv,nuv-B,B-V,g-V,g-r,r-i,i-J,J-H,H-K
141.728736,2.834912,4,13.468,0.077,14.042,0.048,13.634,0.208,15.422,3.632,13.227,0.0,22.714,17.651,1,RS,13.29,13.41,Ellipsoidal/Reflection,30.0,30.0,30.0,,5.062999999999999,3.609,0.5739999999999998,0.16600000000000037,-1.7880000000000003,2.1950000000000003,-16.773,0.0,0.0
352.507671,-11.908712,17,11.185,2.511,10.404,0.164,10.15,0.154,9.764,0.207,9.667,0.205,18.929,14.765,1,EC,9.7,0.54,Eclipsing,30.0,30.0,30.0,,4.163999999999998,4.361000000000001,-0.7810000000000006,-1.0350000000000001,0.386000000000001,0.09699999999999953,-20.333,0.0,0.0
119.002493,21.612821,5,11.363,0.03,11.756,0.022,11.565,0.048,11.292,0.044,12.254,2.256,19.048,14.973,1,DSCT|GDOR|SXPHE,11.27,11.34,Оґ Scuti & HADS,10.63,10.479,10.396,,4.0749999999999975,3.2170000000000005,0.3930000000000007,0.20199999999999996,0.2729999999999997,-0.9619999999999997,1.6239999999999988,0.15100000000000158,0.08299999999999841
122.73611,28.142415,7,13.165,0.93,13.216,1.055,13.308,0.977,13.369,0.863,13.291,0.781,12.301,12.639,1,UGSU,10.5,16.3,Exotic,13.166,12.951,12.829,,-0.3379999999999992,-0.577,0.051000000000000156,0.14300000000000068,-0.06099999999999994,0.0779999999999994,0.125,0.21499999999999986,0.12199999999999989
222.241714,0.178571,3,15.005,0.807,15.295,1.049,15.069,0.972,14.962,0.765,15.012,0.375,18.33,17.027,1,RRAB,15.178,1.12,RR Lyrae,14.414,14.097,13.985,,1.3029999999999973,1.732000000000001,0.28999999999999915,0.06400000000000006,0.1070000000000011,-0.05000000000000071,0.5980000000000008,0.31700000000000017,0.1120000000000001
242.952425,5.376147,3,14.744,0.819,15.06,1.086,14.817,0.907,14.699,0.611,14.782,0.365,23.549,18.91,1,RRAB,14.869,1.06,RR Lyrae,13.9,13.881,13.768,,4.638999999999999,3.8499999999999996,0.3160000000000007,0.0730000000000004,0.11800000000000033,-0.08300000000000018,0.8819999999999997,0.019000000000000128,0.11299999999999955
142.26002,5.574508,5,12.226,0.779,12.583,0.83,12.305,0.802,12.188,0.699,11.935,0.645,16.124,14.501,1,EA/SD,10.5,13.5,Eclipsing,10.687,10.434,10.362,,1.6229999999999993,1.9179999999999993,0.3569999999999993,0.07899999999999885,0.1169999999999991,0.2530000000000001,1.248000000000001,0.2530000000000001,0.07199999999999918
129.98539,12.926096,4,15.563,0.748,16.478,0.878,15.57,0.158,15.545,1.217,14.57,0.05,22.437,20.405,1,EA,14.91,1.08,Eclipsing,13.631,13.128,13.004,,2.032,3.9269999999999996,0.9150000000000009,0.006999999999999673,0.025000000000000355,0.9749999999999996,0.9390000000000001,0.5030000000000001,0.12400000000000055
119.321952,22.718368,4,10.915,0.042,11.831,0.062,11.408,0.075,10.625,0.051,11.897,1.676,23.002,17.877,1,ROT,10.69,10.71,General Rotators,9.412,8.951,8.836,,5.125,6.045999999999999,0.9160000000000004,0.4930000000000003,0.7829999999999995,-1.2720000000000002,2.4849999999999994,0.4610000000000003,0.11500000000000021
128.564939,7.468811,5,10.659,0.049,11.012,0.056,11.756,1.299,10.656,0.054,11.116,0.957,18.342,14.055,1,DSCT|GDOR|SXPHE,10.56,10.58,Оґ Scuti & HADS,9.951,9.793,9.74,,4.286999999999999,3.0429999999999993,0.35299999999999976,1.0969999999999995,1.0999999999999996,-0.4599999999999991,1.1649999999999991,0.15800000000000125,0.05299999999999905
38.297595,-6.873268,7,9.962,0.421,10.178,0.232,10.264,0.566,10.094,0.81,10.404,1.153,17.569,13.314,1,ROT,11.96,12.0,General Rotators,8.926,8.852,8.837,,4.254999999999999,3.1359999999999992,0.21600000000000108,0.3019999999999996,0.16999999999999993,-0.3100000000000005,1.4779999999999998,0.07399999999999984,0.015000000000000568
