RAJ2000,DEJ2000,present,type,min_mag,max_mag
48.413194,-10.442367,1,ACEP,10.93,11.66
327.358435,-8.533985,1,ACV,10.34,0.06
327.738037,-4.351124,1,ACV,10.51,0.08
237.572964,0.717277,1,ACV|CW-FO,10.56,0.09
130.122742,49.835706,1,ACV|roAm|roAp|SXARI,9.96,9.99
231.787177,2.899605,1,ACV|roAm|roAp|SXARI,9.93,9.96
129.545336,30.01883,1,ACV|roAm|roAp|SXARI,8.66,8.69
119.61744,15.960596,1,ACV|roAm|roAp|SXARI,9.96,10.02
351.18444,-6.012006,1,ACV|roAm|roAp|SXARI,9.79,9.82
320.140273,-1.715308,1,ACV|roAm|roAp|SXARI,8.5,8.54
164.014132,2.457534,1,ACV|roAm|roAp|SXARI,9.98,10.01
347.846999,13.804589,1,ACV|roAm|roAp|SXARI,9.91,9.97
171.16698,65.276409,1,ACV|roAm|roAp|SXARI,9.94,9.96
32.310746,-7.859663,1,ACV|roAm|roAp|SXARI,9.84,9.87
122.588591,30.809106,1,ACV|roAm|roAp|SXARI,9.98,10.04
137.600896,54.687181,1,ACV|roAm|roAp|SXARI,9.5,9.53
323.129242,0.563364,1,ACV|roAm|roAp|SXARI,9.29,9.34
122.129432,28.997631,1,ACV|roAm|roAp|SXARI,9.14,9.17
165.691226,1.246313,1,ACV|roAm|roAp|SXARI,9.28,9.32
348.87813,13.524665,1,ACV|roAm|roAp|SXARI,9.7,9.73
120.544132,42.474885,1,ACV|roAm|roAp|SXARI,9.94,9.97
59.420597,-7.238538,1,ACV|roAm|roAp|SXARI,9.51,9.54
330.072155,-24.809305,1,ACV|roAm|roAp|SXARI,9.4,9.43
12.977483,-30.958509,1,ACV|roAm|roAp|SXARI,9.13,9.17
122.357577,24.590224,1,ACV|roAm|roAp|SXARI,9.89,9.93
213.929022,3.046464,1,ACV|roAm|roAp|SXARI,9.95,9.97
144.387356,3.536307,1,ACV|roAm|roAp|SXARI,9.72,9.78
323.824325,10.792259,1,BCEP|DSCT,10.78,0.11
183.456953,67.109275,1,BY,13.733,0.109
340.610398,-34.074868,1,BY,10.0,10.3
316.658049,10.391905,1,BY,13.023,0.066
324.297934,11.134901,1,BY,14.616,0.15
21.64826,14.425593,1,BY,14.841,0.149
31.545764,0.894297,1,BY,14.86,0.139
153.631326,2.22138,1,BY,11.27,11.4
328.181995,3.921927,1,BY,15.092,0.079
229.762685,6.426238,1,BY,14.02,14.17
35.09248,-8.140901,1,BY,14.07,0.023
222.574666,58.689164,1,BY,12.623,0.117
338.982913,-24.046843,1,BY,13.68,0.004
11.731954,4.354913,1,BY,10.95,11.3
254.436848,42.310748,1,BY,14.177,0.066
348.036819,-31.4011,1,BY,14.22,0.02
139.256572,59.033817,1,BY,14.864,0.084
234.323019,2.950525,1,BY,14.34,14.42
354.585737,0.923834,1,BY,13.203,0.097
328.486161,-2.575269,1,BY,11.8,11.9
253.517074,61.256558,1,BY,15.21,0.057
260.809013,28.614108,1,BY,10.85,0.06
177.366526,0.609135,1,BY,9.12,0.03
16.512877,1.335791,1,BY,15.136,0.236
348.575559,15.17227,1,BY,10.73,10.92
224.147211,60.527174,1,BY,16.089,0.078
246.255107,1.800924,1,BY,14.595,0.093
179.597097,-0.336644,1,BY,12.4,12.7
245.30908,9.064954,1,BY,16.225,0.085
179.43565,68.303893,1,BY,13.25,0.132
201.476712,-2.537324,1,BY,14.55,0.01
354.025171,-3.796632,1,BY,12.2,12.5
256.084089,39.482981,1,BY,11.36,11.52
57.151096,-5.341799,1,BY,11.65,11.82
179.597095,-0.336644,1,BY,12.4,12.7
357.712984,-1.156395,1,BY,11.5,11.9
320.188858,-1.564333,1,BY,14.417,0.187
187.335957,1.314971,1,BY,10.58,10.79
358.101596,-0.933304,1,BY,10.66,0.16
253.238696,63.517608,1,BY,14.937,0.042
359.488698,-1.163331,1,BY,10.3,10.4
343.870488,12.6133,1,BY,13.822,0.076
215.707443,6.686751,1,BY,11.45,11.8
258.134871,29.111732,1,BY,12.4,0.17
128.12684,15.82365,1,BY,10.1,10.55
340.621966,14.24836,1,BY,13.904,0.138
