RAJ2000,DEJ2000,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,err,present,min_mag,max_mag
168.580444,1.051704,11.143,0.027,11.592,0.025,13.105,3.575,10.993,0.165,11.012,0.052,18.347,14.734,3.5793725707168287,0,13.29,13.41
141.300348,3.499374,11.564,0.056,12.16,0.084,11.716,0.123,13.713,2.663,11.033,0.4,23.511,16.393,2.6975711297387504,0,13.29,13.41
129.795551,18.175921,10.179,0.038,10.731,0.013,11.355,1.902,10.829,1.883,10.018,0.01,20.863,14.93,2.67675288362598,0,13.29,13.41
118.424259,21.33213,11.203,0.023,11.553,0.033,11.374,0.05,11.141,0.04,12.418,2.615,18.715,14.744,2.616093079383836,0,13.29,13.41
62.954121,-5.236932,10.699,0.038,11.382,0.094,11.896,2.567,10.502,0.07,10.418,0.07,22.283,15.858,2.570908205284662,0,13.29,13.41
118.285175,21.427972,11.733,0.032,12.849,0.046,12.284,0.043,11.386,0.043,12.338,2.553,22.628,20.026,2.554338857708585,0,13.29,13.41
352.507671,-11.908712,11.185,2.511,10.404,0.164,10.15,0.154,9.764,0.207,9.667,0.205,18.929,14.765,2.5378351010260696,1,9.7,0.54
119.139218,21.477463,10.407,0.041,10.931,0.033,10.703,0.044,10.293,0.046,11.386,2.461,20.692,14.398,2.462385631861914,0,9.7,0.54
353.977221,-6.008298,10.938,2.075,10.773,1.278,10.076,0.158,9.637,0.004,9.511,0.004,20.737,14.561,2.4421107673486064,0,9.7,0.54
355.395267,-4.92486,10.562,1.3,10.967,1.181,10.799,1.197,10.476,1.201,9.942,0.033,19.447,14.003,2.441528209953758,0,9.7,0.54
354.606365,-5.006037,10.785,1.311,11.253,1.211,10.988,1.208,10.632,1.127,10.163,0.028,20.57,14.527,2.4321634402317622,0,9.7,0.54
350.910944,-24.37564,11.153,1.483,11.974,1.864,10.774,0.05,10.461,0.042,10.352,0.029,20.879,14.634,2.3830421733574085,0,9.7,0.54
215.96783,-1.372924,12.363,0.081,12.853,0.044,13.322,2.32,12.212,0.149,12.275,0.187,21.944,16.046,2.334109466156204,0,9.7,0.54
355.032075,-5.33859,10.585,1.817,10.789,1.384,10.024,0.189,9.558,0.034,9.464,0.033,20.946,14.406,2.292359265036787,0,9.7,0.54
118.484561,22.235378,10.482,0.052,10.879,0.034,10.701,0.068,10.44,0.047,12.803,2.286,18.463,14.367,2.288337606211112,0,9.7,0.54
119.002493,21.612821,11.363,0.03,11.756,0.022,11.565,0.048,11.292,0.044,12.254,2.256,19.048,14.973,2.257246109754096,1,11.27,11.34
117.325673,20.70102,10.443,0.039,10.863,0.034,10.819,0.116,10.389,0.034,12.033,2.239,17.959,13.931,2.2428575523202534,0,11.27,11.34
118.97088,21.516227,10.706,0.035,11.217,0.034,10.974,0.052,10.587,0.039,11.467,2.229,20.5,14.782,2.230481338186894,0,11.27,11.34
119.014102,22.380387,10.64,0.05,11.602,0.034,11.134,0.054,10.367,0.038,11.981,2.219,21.313,17.519,2.220805484503314,0,11.27,11.34
118.584919,22.272272,10.433,0.051,10.964,0.038,10.728,0.061,10.336,0.043,12.58,2.213,21.014,14.976,2.215171325202636,0,11.27,11.34
117.158008,20.695687,11.353,0.037,11.92,0.031,11.627,0.03,11.227,0.026,12.793,2.212,22.357,15.893,2.2128827352573386,0,11.27,11.34
117.160084,21.566255,10.583,0.067,11.188,0.024,10.895,0.027,10.444,0.085,12.011,2.209,22.334,15.507,2.211944845605333,0,11.27,11.34
119.018362,22.200412,11.417,0.058,12.37,0.034,11.898,0.053,11.151,0.045,12.756,2.161,21.011,18.253,2.1631631931040247,0,11.27,11.34
118.651004,21.71938,11.235,0.049,11.872,0.042,11.564,0.048,11.08,0.061,12.134,2.158,23.38,16.274,2.160359692273488,0,11.27,11.34
117.048935,21.294036,11.421,0.049,11.929,0.025,11.662,0.04,11.323,0.059,12.896,2.157,20.836,15.275,2.158878412509607,0,11.27,11.34
117.245089,21.568039,11.485,0.074,12.088,0.027,11.769,0.051,11.343,0.085,12.894,2.149,23.043,16.176,2.152726643120301,0,11.27,11.34
128.483188,7.478055,13.43,0.038,13.847,0.091,14.225,1.169,13.502,0.218,14.532,1.773,21.341,16.919,2.13713336036851,0,11.27,11.34
122.73611,28.142415,13.165,0.93,13.216,1.055,13.308,0.977,13.369,0.863,13.291,0.781,12.301,12.639,2.070551617323268,1,10.5,16.3
118.847484,21.999189,11.921,0.08,12.488,0.03,12.219,0.049,11.818,0.06,13.965,2.002,22.332,16.066,2.0053191765901004,1,12.01,16.3
128.465943,7.731766,13.976,0.027,14.548,0.124,14.569,0.819,14.027,0.246,14.778,1.754,21.307,17.572,1.955478969459912,0,12.01,16.3
337.175552,-28.739738,10.595,1.015,10.359,0.357,10.501,0.682,10.737,1.267,10.318,0.768,18.718,13.558,1.953947542796377,0,12.01,16.3
136.186203,14.31067,12.41,0.014,12.93,0.093,13.246,1.333,12.359,0.169,12.917,1.412,23.349,16.675,1.9514197395742412,0,12.01,16.3
117.579309,20.69988,11.584,0.049,12.239,0.028,11.904,0.047,11.424,0.047,12.428,1.948,23.287,16.6,1.949950512192553,0,12.01,16.3
117.754487,21.002398,10.523,0.045,11.173,0.027,10.871,0.044,10.364,0.052,11.339,1.946,22.858,15.669,1.947898868011376,0,12.01,16.3
